Gene	antismash_cluster_type	mibig_cluster	mibig_product	compound
CIG01009_0008_107	NRPS, RiPP-like	BGC0002639	NRP	phospho-tyrolose
CIG01009_0008_108	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0002639	NRP	phospho-tyrolose
CIG01009_0008_109	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0002639	NRP	phospho-tyrolose
CIG01009_0008_110	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0002639	NRP	phospho-tyrolose
CIG01025_0006_416	RRE-containing, lanthipeptide-class-ii	BGC0002122	NRP	gramicidin S
CIG01025_0006_417	RRE-containing, lanthipeptide-class-ii	BGC0000310, BGC0000515	NRP, RiPP:Lanthipeptide	bacitracin, geobacillin I
CIG01025_0006_418	RRE-containing, lanthipeptide-class-ii	BGC0000599	RiPP:Sactipeptide	thuricin CD α
CIG01025_0006_420	RRE-containing, lanthipeptide-class-ii	BGC0000388	NRP	mannopeptimycin
CIG01025_0006_422	RRE-containing, lanthipeptide-class-ii	BGC0000549	RiPP:Lanthipeptide	salivaricin D
CIG01025_0006_423	RRE-containing, lanthipeptide-class-ii	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG01025_0006_425	NRPS	BGC0000347	NRP	equibactin
CIG01026_0016_121	NAPAA	BGC0001598	NRP+Polyketide	foxicin A
CIG01026_0021_132	NRP-metallophore,NRPS	BGC0000300	NRP	amychelin
CIG01026_0021_152	NRP-metallophore,NRPS	BGC0002363	RiPP	berninamycin K
CIG01052_0047_111	T3PKS	BGC0000082	Polyketide	kijanimicin
CIG01052_0047_112	T3PKS	BGC0000082	Polyketide	kijanimicin
CIG01052_0047_116	T3PKS	BGC0002315	Polyketide	accramycin A
CIG01052_0047_123	T3PKS	BGC0001005	NRP+Polyketide	locillomycin
CIG01052_0047_128	T3PKS	BGC0002561	Alkaloid	phenazine SA
CIG01052_0047_129	T3PKS	BGC0002561	Alkaloid	phenazine SA
CIG01052_0047_132	T3PKS	BGC0001078	Terpene+Polyketide	furaquinocin B
CIG01052_0047_133	T3PKS	BGC0002554	Alkaloid	carquinostatin A
CIG01052_0047_134	T3PKS	BGC0001005	NRP+Polyketide	locillomycin
CIG01052_0047_135	T3PKS	BGC0000696	Saccharide	gentamicin
CIG01054_0008_210	phosphonate	BGC0001411	Saccharide	polysaccharide B
CIG01054_0008_211	phosphonate	BGC0000806	Saccharide	phosphonoglycans
CIG01054_0008_212	phosphonate	BGC0000904	Other	FR-900098
CIG01054_0008_213	phosphonate	BGC0001411	Saccharide	polysaccharide B
CIG01054_0008_218	phosphonate	BGC0001055	NRP+Polyketide	yersiniabactin
CIG01054_0008_220	phosphonate	BGC0002295	NRP+Saccharide	minimycin
CIG01062_0001_30	NAPAA, terpene	BGC0000082	Polyketide	kijanimicin
CIG01062_0001_33	NAPAA, terpene	BGC0001740	NRP+Polyketide	phthoxazolin
CIG01062_0001_36	NAPAA, terpene	BGC0002174	NRP	ε-Poly-L-lysine
CIG01062_0001_41	NAPAA, terpene	BGC0001095	NRP	fengycin
CIG01062_0001_43	NAPAA, terpene	BGC0001412	Saccharide	polysaccharide C
CIG01062_0001_44	NAPAA, terpene	BGC0002390	Terpene	zealexin A1
CIG01062_0001_45	NAPAA, terpene	BGC0001281	Polyketide	ustilagic acid
CIG01062_0001_59	NAPAA, terpene	BGC0000184	Polyketide:Trans-AT type I polyketide	sorangicin A
CIG01062_0001_63	NAPAA, terpene	BGC0000273	Polyketide:Type II polyketide+Saccharide:Hybrid/tailoring saccharide	steffimycin D
CIG01062_0001_64	NAPAA, terpene	BGC0000202	Polyketide	azicemicin B
CIG01062_0001_66	terpene	BGC0002362	Polyketide	loseolamycin A1
CIG01062_0001_68	terpene	BGC0002362	Polyketide	loseolamycin A1
CIG01075_0116_4	RiPP-like	BGC0000523	RiPP:Lanthipeptide	lactocin S
CIG01082_0005_3	NRPS	BGC0000347	NRP	equibactin
CIG01084_0026_2	NRP-metallophore,NRPS	BGC0000347	NRP	equibactin
CIG01084_0026_6	NRP-metallophore,NRPS	BGC0000347	NRP	equibactin
CIG01096_0001_1027	NRPS, RiPP-like	BGC0000418	NRP	ristocetin
CIG01101_0003_12	lanthipeptide-class-ii	BGC0000804	Saccharide	acarviostatin I03
CIG01105_0041_10	arylpolyene	BGC0000839	Other	flexirubin
CIG01105_0041_12	arylpolyene	BGC0000839	Other	flexirubin
CIG01105_0041_13	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG01105_0041_14	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG01105_0041_19	arylpolyene	BGC0000839	Other	flexirubin
CIG01105_0041_20	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG01105_0041_21	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG01105_0041_24	arylpolyene	BGC0000839	Other	flexirubin
CIG01105_0041_26	arylpolyene	BGC0001853	NRP+Polyketide:Modular type I polyketide	largimiycin 38
CIG01105_0041_3	arylpolyene	BGC0000839	Other	flexirubin
CIG01105_0041_4	arylpolyene	BGC0000839	Other	flexirubin
CIG01105_0041_8	arylpolyene	BGC0000839	Other	flexirubin
CIG01105_0041_9	arylpolyene	BGC0000839	Other	flexirubin
CIG01113_0001_601	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG01113_0001_613	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01113_0001_614	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01147_0001_218	RiPP-like	BGC0001108	NRP+Polyketide:Trans-AT type I polyketide	pederin
CIG01147_0001_222	RiPP-like	BGC0002585	Other	ubericin K
CIG01147_0001_226	RiPP-like	BGC0002520	Polyketide	quinolidomicin A
CIG01170_0001_1084	lanthipeptide-class-i	BGC0000883	Other	arginomycin
CIG01170_0001_1085	lanthipeptide-class-i	BGC0000883	Other	arginomycin
CIG01170_0001_1091	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1092	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1095	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1097	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1098	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1099	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1101	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1102	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01170_0001_1821	RiPP-like	BGC0000055	Polyketide:Modular type I polyketide+Saccharide:Hybrid/tailoring saccharide	erythromycin A
CIG01170_0001_1824	RiPP-like	BGC0000350	NRP:Beta-lactam	ET-743
CIG01170_0001_1910	LAP	BGC0002362	Polyketide	loseolamycin A1
CIG01170_0001_1911	LAP	BGC0002287	NRP	mutanocyclin
CIG01170_0001_1912	LAP	BGC0002287	NRP	mutanocyclin
CIG01180_0011_205	RiPP-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG01192_0001_1115	T3PKS	BGC0000433	NRP:Lipopeptide	surfactin
CIG01192_0001_493	RiPP-like	BGC0002585	Other	ubericin K
CIG01192_0001_494	RiPP-like	BGC0002585	Other	ubericin K
CIG01192_0001_819	T3PKS	BGC0000133	Polyketide	quartromicin A1
CIG01233_0001_584	NRP-metallophore,NRPS	BGC0002472	NRP	ulbactin F
CIG01233_0001_587	NRP-metallophore,NRPS	BGC0002641	NRP	bacillothiazol A
CIG01233_0001_588	NRP-metallophore,NRPS	BGC0002472	NRP	ulbactin F
CIG01233_0001_589	NRP-metallophore,NRPS	BGC0000347	NRP	equibactin
CIG01240_0001_148	betalactone	BGC0000782, BGC0000785	Saccharide	O-antigen
CIG01240_0001_149	betalactone	BGC0000780	Saccharide	O&K-antigen
CIG01240_0001_150	betalactone	BGC0000778	Saccharide	lipopolysaccharide
CIG01240_0001_151	betalactone	BGC0000692	Saccharide	apramycin
CIG01240_0001_152	betalactone	BGC0000760	Saccharide	emulsan
CIG01240_0001_153	betalactone	BGC0000761	Saccharide	exopolysaccharide
CIG01240_0001_154	betalactone	BGC0002060	Polyketide:Trans-AT type I polyketide	secimide
CIG01240_0001_157	betalactone	BGC0001945	NRP	chloromyxamide
CIG01240_0001_158	betalactone	BGC0002686	NRP	madurastatin D1
CIG01240_0001_160	betalactone	BGC0002370	NRP	zelkovamycin B
CIG01240_0001_162	betalactone	BGC0002686	NRP	madurastatin D1
CIG01240_0001_163	betalactone	BGC0001607	Other	gilvusmycin
CIG01240_0001_164	betalactone	BGC0002432	NRP	laterocidine
CIG01240_0001_165	betalactone	BGC0000887	Alkaloid	saxitoxin
CIG01240_0001_166	betalactone	BGC0001095	NRP	fengycin
CIG01240_0001_168	betalactone	BGC0001114	NRP+Polyketide	thailanstatin A
CIG01240_0001_169	betalactone	BGC0000315	NRP:Lipopeptide:Ca+-dependent lipopeptide	CDA1b
CIG01240_0001_170	betalactone	BGC0000315	NRP:Lipopeptide:Ca+-dependent lipopeptide	CDA1b
CIG01240_0001_171	betalactone	BGC0000315	NRP:Lipopeptide:Ca+-dependent lipopeptide	CDA1b
CIG01240_0001_172	betalactone	BGC0001196	NRP	desotamide
CIG01240_0001_173	betalactone	BGC0000273	Polyketide:Type II polyketide+Saccharide:Hybrid/tailoring saccharide	steffimycin D
CIG01240_0001_174	betalactone	BGC0002198	NRP	nanangelenin B
CIG01240_0001_175	betalactone	BGC0001422	NRP:Cyclic depsipeptide+Polyketide:Iterative type I polyketide	myxochromide A
CIG01246_0009_18	RRE-containing, lanthipeptide-class-ii	BGC0000527	RiPP:Lanthipeptide	mersacidin
CIG01304_0001_217	RiPP-like	BGC0002585	Other	ubericin K
CIG01375_0108_2	arylpolyene	BGC0000887	Alkaloid	saxitoxin
CIG01388_0011_155	NRP-metallophore,NRPS	BGC0001536, BGC0002432	NRP	brevicidine, laterocidine
CIG01388_0011_157	NRP-metallophore,NRPS	BGC0001992	Other	thioguanine
CIG01388_0054_62	NAPAA	BGC0002432	NRP	laterocidine
CIG01390_0014_88	NRP-metallophore,NRPS	BGC0002696	NRP	heterobactin B
CIG01392_0066_32	NRP-metallophore,NRPS	BGC0002466	NRP	peucechelin
CIG01397_0014_116	NAPAA	BGC0001762	Alkaloid	rubrolone A
CIG01397_0014_96	NAPAA	BGC0001281	Polyketide	ustilagic acid
CIG01398_0052_3	aminopolycarboxylic-acid	BGC0002567	Other	EDHA
CIG01398_0052_4	aminopolycarboxylic-acid	BGC0002568	Other	EDHA
CIG01398_0052_5	aminopolycarboxylic-acid	BGC0002567	Other	EDHA
CIG01398_0052_6	aminopolycarboxylic-acid	BGC0002567	Other	EDHA
CIG01398_0052_7	aminopolycarboxylic-acid	BGC0002568	Other	EDHA
CIG01398_0052_8	aminopolycarboxylic-acid	BGC0001587	Other	ethylenediaminesuccinic acid hydroxyarginine (EDHA)
CIG01398_0052_9	aminopolycarboxylic-acid	BGC0001587	Other	ethylenediaminesuccinic acid hydroxyarginine (EDHA)
CIG01398_0059_22	NRP-metallophore,NRPS	BGC0000814	Alkaloid	K-252a
CIG01398_0065_10	NRP-metallophore,NRPS	BGC0002581	NRP	bosamycin A
CIG01406_0030_9	terpene	BGC0001752	NRP	qinichelins
CIG01408_0010_24	terpene	BGC0000087	Polyketide	lasalocid
CIG01408_0028_10	terpene	BGC0000780	Saccharide	O&K-antigen
CIG01408_0028_9	terpene	BGC0000340	NRP	echoside A
CIG01412_0003_83	arylpolyene	BGC0002090	NRP+Polyketide:Modular type I polyketide	undecylprodigiosin
CIG01455_0001_340	NAPAA	BGC0001598	NRP+Polyketide	foxicin A
CIG01455_0001_343	NAPAA	BGC0000082	Polyketide	kijanimicin
CIG01455_0001_346	NAPAA	BGC0001740	NRP+Polyketide	phthoxazolin
CIG01455_0001_364	NAPAA	BGC0001412	Saccharide	polysaccharide C
CIG01455_0001_365	NAPAA	BGC0002390	Terpene	zealexin A1
CIG01455_0001_366	NAPAA	BGC0001281	Polyketide	ustilagic acid
CIG01456_0022_275	terpene	BGC0002300	NRP	albomycin delta2
CIG01456_0024_423	NAPAA	BGC0001569	NRP	dechlorocuracomycin
CIG01456_0024_425	NAPAA	BGC0002358	Polyketide	cyclofaulknamycin
CIG01493_0006_113	T3PKS	BGC0002315	Polyketide	accramycin A
CIG01493_0006_119	T3PKS	BGC0000082	Polyketide	kijanimicin
CIG01543_0001_1096	terpene	BGC0001379	NRP	BD-12
CIG01543_0001_1107	terpene	BGC0000637	Terpene	carotenoid
CIG01543_0001_1108	terpene	BGC0000637	Terpene	carotenoid
CIG01543_0001_1110	terpene	BGC0000248	Polyketide	α naphtocyclinoic acid
CIG01638_0001_2350	NRPS	BGC0000434	NRP	SW-163C
CIG01638_0001_2358	NRPS	BGC0001514	Other	aristeromycin
CIG01638_0001_2359	NRPS	BGC0001178	NRP:Glycopeptide	UK-68,597
CIG01638_0001_2361	NRPS	BGC0000367	NRP	gramicidin
CIG01638_0001_2362	NRPS	BGC0002338	Polyketide	sorangipyranone
CIG01638_0001_2370	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2372	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2373	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2374	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2376	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2377	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2378	NRPS	BGC0001111	NRP+Polyketide:Trans-AT type I polyketide	rhizopodin
CIG01638_0001_2379	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2380	NRPS	BGC0000347	NRP	equibactin
CIG01638_0001_2381	NRPS	BGC0000347	NRP	equibactin
CIG01641_0019_2	RiPP-like, lanthipeptide-class-ii	BGC0001894	Saccharide	heteropolysaccharide (HePS)
CIG01642_0007_268	RiPP-like	BGC0002682	Other	aerobactin
CIG01642_0007_269	RiPP-like	BGC0000413	NRP	Pf-5 pyoverdine
CIG01642_0007_274	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01642_0007_35	LAP	BGC0001532	NRP	bogorol A
CIG01680_0003_1908	RiPP-like	BGC0000877	Other	polyoxin A
CIG01680_0003_1911	RiPP-like	BGC0002553	Other	tunicamycin
CIG01692_0019_79	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01717_0001_1889	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01738_0167_1	lanthipeptide-class-ii	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG01748_0001_491	RiPP-like, lanthipeptide-class-ii	BGC0001812	Polyketide	tylactone
CIG01748_0001_783	lanthipeptide-class-ii	BGC0000494	RiPP:Lanthipeptide	uberolysin
CIG01761_0001_654	lanthipeptide-class-i	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG01776_0001_537	NAPAA	BGC0001598	NRP+Polyketide	foxicin A
CIG01785_0001_1001	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01794_0001_749	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG01816_0001_3297	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG01816_0001_3624	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG01817_0001_2034	aminopolycarboxylic-acid	BGC0002656	Polyketide	oryzanaphthopyran A
CIG01817_0001_2035	aminopolycarboxylic-acid	BGC0002372	Polyketide+Terpene+Alkaloid	marinoterpin B
CIG01817_0001_2037	aminopolycarboxylic-acid	BGC0002566	Other	[S,S]-EDDS
CIG01821_0009_43	RiPP-like	BGC0000274	Polyketide:Type II polyketide	tetarimycin A
CIG01839_0007_60	RiPP-like	BGC0000207	Polyketide	chartreusin
CIG01848_0022_131	NRPS	BGC0000347	NRP	equibactin
CIG01848_0022_133	NRPS	BGC0002475	NRP	enantio-pyochelin
CIG01848_0022_136	NRPS	BGC0000310	NRP	bacitracin
CIG01856_0001_521	NRPS	BGC0000347	NRP	equibactin
CIG01862_0001_2106	NAPAA	BGC0002174	NRP	ε-Poly-L-lysine
CIG01929_0040_21	terpene	BGC0000637	Terpene	carotenoid
CIG01959_0136_49	RiPP-like	BGC0000274	Polyketide:Type II polyketide	tetarimycin A
CIG01959_0136_69	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01959_0136_70	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG01959_0207_143	LAP	BGC0001300	Polyketide	anthracimycin
CIG02011_0007_31	NRPS, opine-like-metallophore	BGC0001575, BGC0002177	NRP, Polyketide	dipeptide aldehydes, ustilaginoidin N
CIG02028_0001_114	RiPP-like	BGC0000498, BGC0000561	RiPP:Lanthipeptide	bovicin HJ50, thermophilin 1277
CIG02041_0009_271	lanthipeptide-class-ii	BGC0000539	RiPP:Lanthipeptide	nukacin ISK-1
CIG02041_0009_275	lanthipeptide-class-ii	BGC0000555	RiPP:Lanthipeptide	staphylococcin C55 α
CIG02070_0005_115	NRPS,NRPS-like	BGC0002360	NRP	depsibosamycin B
CIG02099_0002_26	NRP-metallophore,NRPS	BGC0000599	RiPP:Sactipeptide	thuricin CD α
CIG02101_0007_87	NAPAA	BGC0002358	Polyketide	cyclofaulknamycin
CIG02254_0001_781	LAP	BGC0001171	RiPP:LAP	listeriolysin S
CIG02361_0004_24	NAPAA	BGC0001281	Polyketide	ustilagic acid
CIG02361_0004_25	NAPAA	BGC0002390	Terpene	zealexin A1
CIG02361_0004_26	NAPAA	BGC0001412	Saccharide	polysaccharide C
CIG02361_0004_34	NAPAA	BGC0002174	NRP	ε-Poly-L-lysine
CIG02361_0004_35	NAPAA	BGC0002141	Polyketide	trioxacarcin A
CIG02361_0004_37	NAPAA	BGC0001740	NRP+Polyketide	phthoxazolin
CIG02361_0004_40	NAPAA	BGC0000082	Polyketide	kijanimicin
CIG02361_0004_42	NAPAA	BGC0001598	NRP+Polyketide	foxicin A
CIG02361_0004_43	NAPAA	BGC0000806	Saccharide	phosphonoglycans
CIG02361_0004_45	NAPAA	BGC0000806	Saccharide	phosphonoglycans
CIG02372_0084_1	NRPS	BGC0000347	NRP	equibactin
CIG02404_0102_4	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG02414_0001_1047	lanthipeptide-class-i	BGC0001789	RiPP	suicin 90-1330
CIG02415_0001_134	T3PKS	BGC0002284	Other	corynecin III
CIG02431_0044_71	T3PKS	BGC0001078	Terpene+Polyketide	furaquinocin B
CIG02432_0008_3	aminopolycarboxylic-acid	BGC0002679	NRP	chromobactin
CIG02446_0051_5	T3PKS	BGC0002344	NRP	A50926 A
CIG02462_0117_10	RiPP-like	BGC0000523	RiPP:Lanthipeptide	lactocin S
CIG02462_0125_62	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG02462_0184_4	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG02507_0001_1084	furan	BGC0001929	RiPP	WGK
CIG02508_0002_64	lanthipeptide-class-ii	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG02508_0002_65	lanthipeptide-class-ii	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG02508_0002_66	lanthipeptide-class-ii	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG02508_0002_68	lanthipeptide-class-ii	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG02508_0002_69	lanthipeptide-class-ii	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG02508_0002_70	lanthipeptide-class-ii	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG02526_0001_810	NRPS, RiPP-like	BGC0002639	NRP	phospho-tyrolose
CIG02555_0029_2	aminopolycarboxylic-acid	BGC0002679	NRP	chromobactin
CIG02600_0010_1	NRP-metallophore,NRPS	BGC0002351	NRP	thanafactin A
CIG02600_0010_2	NRP-metallophore,NRPS	BGC0000413	NRP	Pf-5 pyoverdine
CIG02600_0010_3	NRP-metallophore,NRPS	BGC0001114	NRP+Polyketide	thailanstatin A
CIG02600_0010_4	NRP-metallophore,NRPS	BGC0001114	NRP+Polyketide	thailanstatin A
CIG02643_0001_1320	terpene	BGC0000637	Terpene	carotenoid
CIG02643_0001_1321	terpene	BGC0000637	Terpene	carotenoid
CIG02648_0001_337	T3PKS	BGC0000607	RiPP:Thiopeptide	micrococcin P1
CIG02704_0011_314	NRPS	BGC0000498	RiPP:Lanthipeptide	bovicin HJ50
CIG02748_0010_61	NRPS, RiPP-like	BGC0002037	NRP	azetidomonamide A
CIG02763_0001_975	T3PKS	BGC0000286	Polyketide	viguiepinol
CIG02772_0001_1396	lanthipeptide-class-ii	BGC0000498	RiPP:Lanthipeptide	bovicin HJ50
CIG02787_0041_1	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG02795_0062_30	NAPAA, terpene	BGC0002358	Polyketide	cyclofaulknamycin
CIG02795_0062_32	NAPAA, terpene	BGC0001561	NRP	curacomycin
CIG02903_0001_1376	arylpolyene	BGC0000837	Other	APE Vf
CIG02933_0035_82	NRPS, RiPP-like	BGC0001378	Polyketide:Enediyne type I polyketide	tiancimycin
CIG02971_0044_49	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG02978_0016_1	opine-like-metallophore	BGC0001053	NRP+Polyketide	tubulysin A
CIG03045_0001_2028	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG03135_0058_57	terpene	BGC0002362	Polyketide	loseolamycin A1
CIG03138_0044_65	terpene	BGC0000273	Polyketide:Type II polyketide+Saccharide:Hybrid/tailoring saccharide	steffimycin D
CIG03139_0057_111	NAPAA, terpene	BGC0001598	NRP+Polyketide	foxicin A
CIG03175_0025_74	RiPP-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG03176_0023_50	RiPP-like	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG03240_0018_12	aminopolycarboxylic-acid	BGC0002566	Other	[S,S]-EDDS
CIG03242_0063_19	aminopolycarboxylic-acid	BGC0002657	Polyketide+NRP	deoxyhangtaimycin
CIG03248_0010_28	NAPAA	BGC0000407	NRP	plipastatin
CIG03260_0001_813	T3PKS	BGC0000360	NRP	GE81112
CIG03387_0001_1317	RiPP-like	BGC0000548	RiPP:Lanthipeptide	salivaricin A
CIG03411_0003_33	NRP-metallophore,NRPS	BGC0000347	NRP	equibactin
CIG03640_0003_15	RiPP-like	BGC0000498, BGC0000561	RiPP:Lanthipeptide	bovicin HJ50, thermophilin 1277
CIG03687_0012_12	RiPP-like	BGC0002585	Other	ubericin K
CIG03932_0001_1136	RRE-containing, lanthipeptide-class-ii	BGC0000549	RiPP:Lanthipeptide	salivaricin D
CIG03950_0004_97	RRE-containing, lanthipeptide-class-ii	BGC0000516	RiPP:Lanthipeptide	geobacillin II
MAG00090_0005_102	lanthipeptide-class-ii	BGC0001076	Other:Nucleoside	liposidomycin B
MAG00103_0012_1	thiopeptide	BGC0000070	Polyketide:Iterative type I polyketide	griseofulvin
MAG00103_0012_12	thiopeptide	BGC0001283	Polyketide	arsono-polyketide
MAG00103_0012_16	thiopeptide	BGC0000781, BGC0000784	Saccharide	O-antigen
MAG00103_0012_4	thiopeptide	BGC0001127	NRP	jagaricin
MAG00103_0012_5	thiopeptide	BGC0001750	NRP+Polyketide	pyrronazol B
MAG00103_0012_9	thiopeptide	BGC0001285	Other:Fatty acid	pseudopyronine A
MAG00103_0022_32	NRP-metallophore,NRPS	BGC0000706	Saccharide	kanamycin
MAG00103_0022_42	NRP-metallophore,NRPS	BGC0001114	NRP+Polyketide	thailanstatin A
MAG00103_0022_43	NRP-metallophore,NRPS	BGC0001114	NRP+Polyketide	thailanstatin A
MAG00103_0022_44	NRP-metallophore,NRPS	BGC0000413	NRP	Pf-5 pyoverdine
MAG00103_0022_45	NRP-metallophore,NRPS	BGC0002494	NRP	vibriobactin
MAG00103_0022_48	NRP-metallophore,NRPS	BGC0002430	NRP+Saccharide	gausemycin A
MAG00103_0022_53	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_54	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_55	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_56	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_57	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_58	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_59	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_60	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_61	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
MAG00103_0022_63	NRP-metallophore,NRPS	BGC0002413	NRP	frederiksenibactin
MAG00103_0022_64	NRP-metallophore,NRPS	BGC0000296, BGC0002686, BGC0002695, BGC0002718	NRP	actinomycin D, bacillibactin, madurastatin A2, madurastatin D1
MAG00103_0022_65	NRP-metallophore,NRPS	BGC0002680	NRP	viobactin
MAG00103_0022_66	NRP-metallophore,NRPS	BGC0002679	NRP	chromobactin
MAG00103_0022_67	NRP-metallophore,NRPS	BGC0002494	NRP	vibriobactin
MAG00103_0026_44	NRP-metallophore,NRPS	BGC0002571	NRP	pyoverdine DC3000
MAG00103_0026_48	NRP-metallophore,NRPS	BGC0000984	NRP+Polyketide	delftibactin A
MAG00103_0041_18	thiopeptide	BGC0002300	NRP	albomycin delta2
MAG00103_0041_28	thiopeptide	BGC0001441	Other	belactosin A
MAG00103_0057_10	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0057_11	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0057_14	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0057_5	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0057_6	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0057_7	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0057_8	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0057_9	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
MAG00103_0069_14	NRP-metallophore,NRPS,T1PKS	BGC0002060	Polyketide:Trans-AT type I polyketide	secimide
MAG00103_0069_6	NRP-metallophore,NRPS,T1PKS	BGC0002571	NRP	pyoverdine DC3000
MAG00103_0069_7	NRP-metallophore,NRPS,T1PKS	BGC0001178, BGC0001635	NRP+Polyketide, NRP:Glycopeptide	UK-68,597, kistamicin A
MAG00105_0025_11	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_12	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_13	opine-like-metallophore	BGC0002487	Other	staphylopine
MAG00105_0025_14	opine-like-metallophore	BGC0002487	Other	staphylopine
